cctv_id,latitude,longitude,cctv_name
1,"-6.930554","107.643828","ibrahim_adjie"
2,"-6.904082","107.666879","nasution_cikadut"
3,"-6.900051","107.643276","cikutra"
4,"-6.892281","107.631800","cikutra_barat"
5,"-6.928582","107.676815","cingised"
6,"-6.892379","107.584132","djundjunan"
7,"-6.965532","107.686969","gedebage_derwati"
8,"-6.922910","107.595659","pagarsih"
9,"-6.941275","107.592411","raya_kopo_citarip"
10,"-6.932247","107.693004","rumah_sakit"
11,"-6.919119","107.589960","sudirman"
12,"-6.886362","107.588206","sukamulya"
13,"-6.930290","107.576103","trs_pasirkoja"
